1,"私は日本の料理が好きです。","Watashi wa Nihon no ryōri ga sukidesu.","Tôi thích món ăn Nhật",1
2,"山田さんは日本語が上手です。","Yamada-san wa nihongo ga jōzudesu.","Anh Yamada giỏi tiếng Nhật",1
3,"この家はドアが大きいです 。","Kono ie wa doa ga ōkii desu","Căn nhà này có cửa lớn",1

4,"山田さんは本を読むことが好きです。私も同じです","Yamada-san wa hon o yomu koto ga sukidesu. Watashi mo onajidesu","Anh yamada thích đọc sách. Tôi cũng vậy.",2
5,"昨日忙しくて寝る時間もありませんでした。","Kinō isogashikute nerujikan mo arimasendeshita.","Ngày hôm qua bận quá, không có cả thời gian để ngủ.",2
6,"リンゴを食べます。梨も食べます。","Ringo wo tabemasu. Nashi mo tabemasu.","Tôi ăn táo. Tôi cũng ăn cả lê.",2
7,"名声がほしいです。お金もほしいです。","Meisei ga hoshii desu. Okane mo hoshii desu.","Tôi muốn có danh tiếng. Tôi cũng muốn có cả tiền.",2,22

8,"この仕事は明日で終りますか？","Kono shigoto wa ashita de owarimasu ka","Công việc này sáng mai có xong không?",3
9,"はしで食べます。","Hashi de tabemasu.","Tôi ăn bằng đũa",3
10,"日本語でレポートを書きます。","Nihongo de repōto o kakimasu.","Tôi viết báo cáo bằng tiếng Nhật",3
11,"駅で新聞を買います。","Eki de shinbun o kaimasu","Tôi mua báo ở nhà ga",3

12,"明日、旅行に行きます。","Ashita, ryokō ni ikimasu.","Ngày mai tôi sẽ đi du lịch",4
13,"午後６時に帰ります。","Gogo roku-ji ni kaerimasu.","6 giờ chiều tôi sẽ về",4
14,"彼は日本へ留学しました。","Kare wa Nihon e ryūgaku shimashita.","Cậu ấy đã đi du học Nhật Bản.",4

15,"２月１日に日本へ行きました。","Nigatsu tsuitachi ni Nihon e ikimashita","Tôi ( đã) đến Nhật vào ngày 1 tháng 2.",5
16,"週末に友達の家へ行きます。","Shūmatsu ni tomodachi no ie e ikimasu.","Cuối tuần tôi sẽ đi đến nhà của bạn",5

17,"水を飲みます。","Mizu o nomimasu.","Tôi uống nước",6
18,"日本語を勉強します。","Nihongo o benkyō shimasu.","Tôi học tiếng Nhật",6
19,"音楽を聞きます.","Ongaku o kikimasu.","Tôi nghe nhạc",6

20,"公園に友達と散歩しました。","Kōen ni tomodachi to sanpo shimashita.","Tôi đã đi dạo với bạn tới công viên",7
21,"同僚とアメリカへ出張します。","Dōryō to amerika e shutchō shimasu.","Tôi sẽ đi công tác ở Mỹ cùng với đồng nghiệp",7

22,"山田さんは木村さんに花をあげました。","amada-san wa Kimura-san ni hana o agemashita.","Anh Yamada tặng hoc cho chị Kimura",8
23,"マリアさんに本を貸しました。","Maria-san ni hon o kashimashita.","Tôi cho chị Maria mượn sách",8
24,"みみちゃんに英語を教えます。","Mi mi-chan ni eigo o oshiemasu.","Tôi dạy bé Mimi tiếng Anh",8
25,"会社に電話をかけます。","Kaisha ni denwa o kakemasu.","Tôi gọi điện thoại đến công ty",8
26,"木村さんは山田さんに花をもらいました。","Kimura-san wa Yamada-san ni hana o moraimashita.","Chị Kimura nhận hoa từ anh Yamada.",8
27,"マリアさんにざっしを借りました。","Maria-san ni zasshi o karimashita.","Tôi mượn cuốn tạp chí từ chị Maria.",8
28,"チンさんに中国語を習います。","Chin-san ni chūgokugo o naraimasu.","Tôi học tiếng Trung Quốc từ anh Chin",8

